,FSA,Visible_Minority_Population_Pct,South_Asian_Pct,Chinese_Pct,Black_Pct,Filipino_Pct,Latin American_Pct,Arab_Pct,South_East_Asian_Pct,West_Asian_Pct,Korean_Pct,Japanese_Pct,Not_Visible_Minority_Population_Pct,Population,Population_Average_Age,Age:0-19,Age:20-39,Age:40-59,Age:60plus,Median Income,Commute:Drive,Commute:Walk_Bus_Bike,NonImmigrants,Immigrants,House_Owner_Pct,House_Renter_Pct,Median_Monthly_Rent,Median_Monthly_Buy
0,M5V,20745.0,4395.0,6290.0,2560.0,1020.0,1355.0,1000.0,605.0,1030.0,795.0,325.0,28040.0,49195.0,34.2,3215.0,34130.0,8815.0,3045.0,69202.0,8540.0,25265.0,28920.0,16245.0,13265.0,17455.0,1715.0,1886.0
1,M5T,10455.0,765.0,6045.0,880.0,450.0,330.0,290.0,615.0,190.0,280.0,215.0,6895.0,17748.0,40.3,2035.0,8230.0,3945.0,3535.0,48942.0,1255.0,6935.0,8500.0,7610.0,2510.0,6035.0,1101.0,1410.0
2,M6J,9055.0,900.0,4225.0,1100.0,440.0,615.0,170.0,335.0,150.0,320.0,185.0,22570.0,32684.0,38.9,4060.0,15465.0,7935.0,5210.0,57063.0,5445.0,12115.0,20335.0,10225.0,7355.0,7760.0,1402.0,1683.0
3,M6G,7605.0,740.0,2415.0,1120.0,570.0,720.0,155.0,355.0,155.0,475.0,195.0,23485.0,32086.0,41.8,4935.0,11855.0,8095.0,7190.0,59052.0,4870.0,11030.0,20505.0,9780.0,6640.0,6775.0,1279.0,1328.0
4,M5S,6450.0,1045.0,2980.0,355.0,210.0,225.0,265.0,145.0,205.0,610.0,170.0,7840.0,15372.0,39.0,1740.0,7870.0,2735.0,3015.0,66185.0,1365.0,5365.0,7220.0,5120.0,3025.0,4930.0,1686.0,1442.0
5,M4Y,12320.0,2230.0,4445.0,985.0,700.0,840.0,550.0,345.0,565.0,760.0,265.0,17435.0,30472.0,39.1,2235.0,16370.0,7345.0,4525.0,62069.0,2800.0,14010.0,15530.0,10620.0,5305.0,14185.0,1347.0,1651.0
6,M4M,9910.0,1030.0,5050.0,1235.0,510.0,270.0,125.0,625.0,120.0,150.0,160.0,13740.0,24689.0,39.7,4305.0,8620.0,7585.0,4195.0,67797.0,4945.0,6970.0,15710.0,7415.0,6345.0,4415.0,1052.0,1824.0
7,M6H,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0
8,M5A,18375.0,4515.0,3425.0,4935.0,990.0,880.0,620.0,805.0,510.0,330.0,195.0,20555.0,41078.0,39.3,5510.0,17225.0,11955.0,6385.0,64126.0,5115.0,15025.0,22970.0,14730.0,7395.0,14915.0,1068.0,1801.0
9,M5B,6635.0,1135.0,2105.0,950.0,290.0,290.0,560.0,145.0,230.0,485.0,50.0,5420.0,12785.0,36.6,1455.0,6800.0,3045.0,1500.0,65552.0,1130.0,5225.0,5735.0,4935.0,2370.0,4750.0,1408.0,1767.0
10,M2N,52515.0,5125.0,22175.0,1605.0,1505.0,1150.0,1690.0,625.0,8445.0,7970.0,850.0,22485.0,75897.0,39.9,12505.0,28975.0,19895.0,14535.0,63891.0,15815.0,16765.0,23130.0,44555.0,20735.0,12990.0,1642.0,1609.0
11,M5H,845.0,195.0,310.0,60.0,25.0,30.0,60.0,20.0,40.0,70.0,10.0,1090.0,2005.0,35.8,120.0,1265.0,470.0,155.0,77662.0,230.0,1035.0,1040.0,765.0,560.0,690.0,2055.0,1791.0
12,M6R,2790.0,500.0,555.0,510.0,230.0,185.0,55.0,140.0,50.0,110.0,120.0,16535.0,19857.0,39.4,3930.0,6530.0,6035.0,3380.0,67111.0,3835.0,6150.0,14580.0,4325.0,4220.0,4425.0,1203.0,1793.0
13,M5R,6205.0,1000.0,1835.0,910.0,275.0,340.0,255.0,140.0,305.0,435.0,225.0,18605.0,26496.0,43.6,2785.0,10670.0,6055.0,6990.0,66886.0,3335.0,9355.0,16630.0,7010.0,4885.0,9090.0,1391.0,1656.0
14,M4L,9115.0,1615.0,3225.0,1560.0,515.0,430.0,190.0,260.0,170.0,120.0,230.0,23125.0,32640.0,38.9,7240.0,9285.0,10535.0,5580.0,70257.0,7060.0,8110.0,23870.0,7905.0,8235.0,5620.0,1044.0,1808.0
15,M5G,5630.0,880.0,2700.0,230.0,135.0,145.0,575.0,135.0,135.0,345.0,185.0,2670.0,8423.0,32.9,975.0,5450.0,1305.0,685.0,69378.0,580.0,3620.0,3230.0,3435.0,1560.0,3360.0,1699.0,1403.0
16,M6K,16740.0,3075.0,2305.0,3135.0,2005.0,1125.0,340.0,1190.0,285.0,320.0,185.0,22870.0,40957.0,38.4,4775.0,20435.0,9805.0,5960.0,54998.0,7250.0,15525.0,23050.0,15195.0,6270.0,15705.0,1121.0,1861.0
17,M6P,10060.0,1705.0,1780.0,1855.0,615.0,1200.0,340.0,565.0,280.0,555.0,300.0,29780.0,40035.0,39.7,6855.0,14760.0,11200.0,7225.0,62328.0,7440.0,13360.0,25560.0,13140.0,8070.0,10950.0,1244.0,1674.0
18,M4K,7565.0,1265.0,2250.0,1075.0,730.0,480.0,190.0,235.0,195.0,155.0,345.0,23650.0,31583.0,41.4,5985.0,9055.0,9780.0,6755.0,64251.0,5590.0,9795.0,20955.0,9700.0,6350.0,8200.0,1087.0,1424.0
19,M4W,3645.0,610.0,1180.0,320.0,240.0,215.0,155.0,75.0,195.0,270.0,120.0,10735.0,14561.0,45.3,2220.0,4040.0,3955.0,4360.0,84998.0,2485.0,3935.0,9205.0,4490.0,4165.0,3095.0,1601.0,1836.0
20,M1V,51530.0,7965.0,35875.0,2370.0,2355.0,175.0,375.0,410.0,320.0,105.0,100.0,2875.0,54680.0,42.3,10795.0,14690.0,15275.0,13905.0,40862.0,15670.0,6100.0,14345.0,37895.0,13185.0,2900.0,1202.0,1116.0
21,M4P,6095.0,815.0,1130.0,820.0,820.0,665.0,230.0,70.0,685.0,400.0,120.0,13920.0,20039.0,40.8,2720.0,8035.0,5440.0,3840.0,61248.0,4035.0,6785.0,11875.0,7320.0,2995.0,8505.0,1268.0,1659.0
22,M5J,6595.0,2030.0,2140.0,405.0,250.0,240.0,430.0,90.0,255.0,235.0,190.0,7625.0,14545.0,38.5,1175.0,8090.0,3045.0,2235.0,75553.0,1905.0,6890.0,7165.0,5960.0,4035.0,4540.0,1768.0,1666.0
23,M5E,4020.0,1070.0,1175.0,455.0,220.0,175.0,185.0,115.0,170.0,125.0,85.0,5205.0,9118.0,40.0,585.0,5030.0,1930.0,1570.0,80174.0,1325.0,4590.0,5295.0,3405.0,2370.0,3340.0,1748.0,1843.0
24,M4S,7475.0,1740.0,1375.0,830.0,650.0,555.0,245.0,105.0,695.0,600.0,270.0,18220.0,26506.0,41.1,4470.0,9350.0,7190.0,5495.0,73369.0,4895.0,8530.0,16050.0,8410.0,5625.0,7775.0,1327.0,1698.0
25,M6S,7150.0,1215.0,1105.0,1735.0,560.0,670.0,215.0,275.0,145.0,375.0,265.0,26755.0,34299.0,39.8,7835.0,9355.0,10290.0,6815.0,77017.0,8140.0,7905.0,23540.0,9815.0,9645.0,4990.0,1228.0,1571.0
26,M5C,1120.0,195.0,290.0,265.0,45.0,30.0,30.0,20.0,45.0,50.0,40.0,1680.0,2951.0,39.8,205.0,1490.0,860.0,385.0,70048.0,240.0,1595.0,1700.0,990.0,925.0,840.0,1555.0,1575.0
27,M4J,11225.0,2385.0,3230.0,2010.0,875.0,410.0,140.0,400.0,375.0,255.0,390.0,24365.0,35738.0,40.4,7830.0,9570.0,10940.0,7405.0,69447.0,7250.0,9145.0,23610.0,11555.0,9175.0,5615.0,962.0,1559.0
28,M6C,6850.0,610.0,735.0,1650.0,1655.0,840.0,150.0,165.0,110.0,235.0,170.0,17220.0,24596.0,40.2,4995.0,7635.0,6820.0,5150.0,62192.0,5235.0,6750.0,15400.0,8040.0,5175.0,5295.0,1055.0,1602.0
