,name,review_count,categories,FSA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,price_range,take_out,success
0,Bakery Gateau,8,Bakeries,M3B,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2,1,1
1,Bolt Fresh Bar,57,Vegetarian/Vegan,M6J,13.0,13.0,13.0,13.0,13.0,12.0,12.0,2,1,0
2,The Steady Cafe & Bar,29,Coffee/Tea,M6H,0.0,9.0,9.0,9.0,7.0,8.0,5.0,2,0,0
3,Mad Crush Wine Bar,9,Breakfast/Brunch,M6G,0.0,0.0,0.0,16.0,16.0,16.0,0.0,3,1,0
4,Burrito Bandidos,43,Mexican,M4L,12.0,12.0,12.0,12.0,12.0,11.0,10.0,2,1,1
5,Medium Rare,22,Specialty,M9B,0.0,9.0,9.0,10.0,10.0,9.0,6.0,3,1,0
6,Paramount Fine Foods,40,West Asian,M6K,12.0,12.0,12.0,12.0,13.0,13.0,12.0,2,1,0
7,Aroma Espresso Bar,6,Coffee/Tea,M3J,16.0,16.0,16.0,16.0,16.0,11.0,11.0,1,1,1
8,Ume Fashion Sushi,25,Japanese,M1N,11.0,11.0,11.0,11.0,11.0,8.0,8.0,2,1,1
9,Not Your Mother,8,Vegetarian/Vegan,M6K,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1,1,1
10,Ravi Soups,332,Breakfast/Brunch,M5V,11.0,11.0,11.0,11.0,11.0,11.0,9.0,2,1,1
11,J-C Foodland,7,Specialty,M5V,7.5,7.5,7.5,7.5,6.5,7.0,8.0,2,0,0
12,Caffeine,30,Coffee/Tea,M4A,0.0,5.5,10.5,10.5,10.5,10.0,7.0,1,1,1
13,Sanagan's Meat Locker,3,Specialty,M4L,8.0,8.0,8.0,8.0,8.0,9.0,6.0,2,1,1
14,Kibo Sushi House,15,Japanese,M8V,6.0,10.5,10.5,10.5,10.5,10.5,6.0,2,1,1
15,Pallucci,5,Non-Visible Minority Foods,M4S,0.0,5.0,5.0,10.0,10.0,5.0,0.0,1,0,0
